Hour,43252,43253,43254,43255,43256,43257,43258,43259,43260,43261,43262,43263,43264,43265,43266
1,4061,1611,2714,3082,3426,4413,4113,4586,4795,3804,4241,2348,2802,2879,2775
2,4078,1545,2864,3205,3556,4262,4355,4454,4485,3161,4169,2028,2672,2628,2694
3,3915,1522,2994,3375,3268,3871,4148,4485,4479,2996,4066,1695,2486,2854,2279
4,3877,1411,2767,3357,3424,3258,3824,4287,4537,3152,3862,1371,2483,2926,2094
5,3689,1299,2189,3100,3392,2909,3576,4171,4377,3697,3536,959,2322,2910,1961
6,3123,1163,1895,2639,3189,2744,3102,3860,4160,3678,3016,609,2157,2876,1756
7,2650,1038,1423,2286,2890,2214,2787,3476,4016,3315,2302,465,1884,2599,1630
8,1827,858,923,2198,2432,1753,2708,2861,3873,2899,1402,315,1710,2279,1692
9,1140,768,597,2138,1945,1627,2617,2208,3790,3040,940,213,1355,1856,1539
10,686,764,358,2287,1579,1583,2454,1429,3798,3369,551,173,1005,1600,1370
11,581,805,267,2343,1420,1607,2512,1023,3804,3181,364,173,828,1517,1420
12,653,834,255,2346,1320,1767,2647,914,4213,2946,359,139,648,1545,1634
13,612,741,354,2444,1438,1996,2901,1142,4334,2876,342,180,716,1759,1779
14,624,659,509,2473,1719,2393,3416,1521,4625,3231,263,272,1164,2107,2039
15,630,647,957,2671,2120,2563,4001,1759,4876,3673,232,503,1542,2219,2340
16,685,691,1537,2882,2675,2839,4291,2623,4850,4130,348,775,2000,2338,2621
17,960,1133,2127,2883,3104,3263,4580,3506,5006,4318,650,1329,2601,2431,2831
18,1680,1957,2260,2584,3192,3527,4660,4298,4866,4340,1120,1665,2856,2625,2682
19,2141,2359,2371,2384,3282,3888,4666,4677,4451,4539,1704,2427,2819,2926,2366
20,2440,2658,2669,2548,3240,3906,4855,4798,4136,4611,2284,2736,2731,2937,2155
21,2630,2787,2776,2440,3412,3975,4672,4953,4212,4486,2770,3113,2699,2833,2034
22,2448,2781,3006,2668,3436,3852,4452,4937,4098,4251,2926,3138,2926,2602,2110
23,2073,2921,3088,2800,3734,3879,4332,4887,4042,4267,2649,3028,2978,2491,2151
24,1729,2805,3077,3147,4170,3871,4435,4949,4033,4244,2579,2887,3017,2663,2075
