node number,X (longitude),Y (latitude),solar,wind,other
1,-122.945,38.704,0,0,1200
2,-122.324,40.472,0,0,1000
3,-121.662,40.925,0,100,800
4,-122.111,39.106,0,0,800
5,-122.392,37.741,0,0,900
6,-121.726,39.675,0,0,690
7,-121.873,38.013,0,650,0
8,-121.693,37.741,0,0,-4500
9,-121.313,38.832,0,0,-1000
10,-121.75,37.307,0,0,-2100
11,-121.776,36.705,0,0,1300
12,-121.193,38.515,0,0,-1500
13,-121.331,37.943,0,0,500
14,-121.141,37.385,300,0,0
15,-120.578,38.811,0,0,700
16,-120.774,37.517,0,0,-1000
17,-120.626,36.765,100,0,0
18,-120.077,38.203,0,0,600
19,-120.718,35.307,0,0,2000
20,-120.102,36.617,500,0,0
21,-119.994,35.36,750,0,0
22,-119.668,36.286,550,0,0
23,-119.295,37.203,0,0,800
24,-119.586,35.477,0,0,-1000
25,-119.136,36.893,0,0,1400
26,-119.3,36.01,0,1160,0
27,-119.023,35.478,800,0,0
28,-119.179,34.138,0,0,2300
29,-118.636,35.033,0,2400,0
30,-118.447,34.307,0,0,-2000
31,-118.303,34.718,1400,0,0
32,-118.052,35.251,500,0,0
33,-118.383,33.922,0,0,-7000
34,-118.024,34.024,0,0,-5000
35,-117.584,35.018,600,0,0
36,-117.563,34.032,0,0,-1500
37,-117.339,34.581,300,0,0
38,-117.122,33.955,0,0,2000
39,-117.125,33.071,0,0,-1500
40,-117.027,32.598,0,0,-2500
41,-116.599,33.921,0,400,0
42,-115.458,35.565,650,0,0
43,-115.411,33.818,500,0,0
44,-115.497,33.25,250,0,0
45,-115.577,32.76,750,0,0
46,-114.731,33.595,700,0,0
47,-120,35.98,250,0,0
